bidder_id,bid_count,auction_count,merc_count,device_count,country_count,ip_count,url_count,average_distinct_country_per_auction,average_distinct_urls_per_auction,average_distinct_ip_per_auction,average_distinct_dev_per_auction,average_distinct_merc_per_auction,average_bids_per_auction,median_response_time,median_response_time_across_auction,num_auction,num_auction_won,percentage_win,avg_bids_auction,competitors,median_time_to_respond_competition,median_time_to_respond_self,outcome
76c85d6bf559bc0323bbe1639d233e88nxy36,6331,364,1,415,50,4079,2532,1.168,12.951,13.308,5.94,1.0,17.393,35473684210,33315789473,364,7,0.019230769230769232,0.005551887036506003,120.00824175824175,947368421,29789473684,0.0
8acae9b2e5454fbd92fd0b3d79fe89ad6w2wp,5,3,1,3,2,3,1,1.0,1.0,1.0,1.333,1.0,1.667,157894736,4596315789474,3,0,0.0,8.762705923589204E-4,139.33333333333334,3315789474,-1,0.0
ad590c59c30187b772258a059d532db42tf4d,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,0.0012239902080783353,128.0,1052631579,-1,0.0
c5c8a28a166913512f5bffa6a49788c5b0uaa,4,1,1,3,3,4,3,3.0,3.0,4.0,3.0,1.0,4.0,3396157894737,0,1,0,0.0,7.443979402508993E-6,1112.0,105263158,2962473684211,0.0
ee2caa714a2175abb13eb6ef15196368cwc7c,9,8,1,4,4,4,4,1.125,1.125,1.125,1.125,1.0,1.125,10222473684210,1684210526,8,0,0.0,1.3339795723261491E-5,457.0,631578947,-1,0.0
eebfd257525e52b67969ae9d8760afff12j3d,30,7,1,21,14,26,14,2.286,2.286,3.857,3.286,1.0,4.286,626684210526,1562157894736,7,0,0.0,4.971208417912921E-5,335.0,52631579,542736842105,0.0
eeda0d135495167db9425fc5fa3a5e3ex2zel,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,2.670940170940171E-4,304.0,1315789474,-1,0.0
00a0517965f18610417ee784a05f494d4dw6e,141,74,1,67,16,103,84,1.0,1.757,1.676,1.635,1.0,1.905,515315789474,180473684210,74,0,0.0,2.6164748846245917E-4,232.0,947368421,-1,0.0
1b26a52e1e5980c8487bb35cf5027fdfwfnzp,2,2,1,2,1,2,1,1.0,1.0,1.0,1.0,1.0,1.0,0,10530000000000,2,0,0.0,0.0015349194167306216,50.5,18263157895,-1,0.0
246c55639cf85c682d58cbd2ed6a6563vk2yn,1041,192,1,222,49,790,61,1.156,2.667,4.875,3.661,1.0,5.422,126000000000,31421052631,192,0,0.0,0.001205664887702913,169.6875,578947368,60052631579,0.0
28a0d5539562290a1a2f63d5b7230db090ys3,122,47,1,57,16,91,4,1.0,1.277,2.213,1.957,1.0,2.596,42631578947,61631578947,47,1,0.02127659574468085,6.06458283623638E-4,179.91489361702128,210526316,7526315790,0.0
3144ea2711bef53de88d89d71acd16c5q0bzh,165,82,1,71,9,138,76,1.0,1.817,1.902,1.72,1.0,2.012,1825368421052,228736842105,82,0,0.0,3.437027408731299E-4,224.4878048780488,842105263,473684211,0.0
39802378690e7d0c61d294f5898852b96hsfh,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,4.786383695662579E-6,845.0,52631579,-1,0.0
4b9bf4cf1085e9d839e833e4b9d40f2a8ps14,16,15,1,13,5,15,9,1.0,1.0,1.0,1.0,1.0,1.067,2578947369,885052631579,15,0,0.0,9.030211702025589E-5,314.3333333333333,421052631,-1,0.0
6ed7b95dcea7b359248e9efce91cbb11lm7hf,434,46,1,126,24,316,272,1.37,6.413,7.065,3.435,1.0,9.435,33052631579,205736842105,46,0,0.0,4.4225062771056835E-4,204.56521739130434,52631579,26842105263,0.0
936a335eab4643c3529968a4d9b0c380esi7q,30,25,1,21,9,23,13,1.0,1.12,1.12,1.08,1.0,1.2,1705789473684,820263157895,25,0,0.0,1.4431611000736012E-4,268.6,1789473685,-1,0.0
a6bf74b19fcb2687ce345930c4c16d4e2txda,435,110,1,151,43,373,102,1.436,2.164,3.645,2.709,1.0,3.955,87684210526,69210526316,110,1,0.00909090909090909,7.368535169086708E-4,135.4181818181818,157894737,44210526316,0.0
b725a638efd8d51f66ae2f22ce1df678p9es7,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,3.096166945321692E-5,486.0,52631579,-1,0.0
cab7ecf98fd0489389a3a8d3961defb3k66og,3,3,1,2,2,2,3,1.0,1.0,1.0,1.0,1.0,1.0,0,43368421053,3,0,0.0,7.33783387144115E-5,298.6666666666667,52631579,-1,0.0
01c5692d487454cdbe731df330bef608f48zz,82,19,1,41,5,44,28,1.0,2.526,3.263,3.474,1.0,4.316,38263157895,26631578947,19,0,0.0,0.0010232476883337285,130.78947368421052,52631579,17631578947,0.0
2b5c4051f232c4848dbbb477c5ad7f389f4b6,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,0.007575757575757576,39.0,2368421052,-1,0.0
42025aabb56a61f3bea90d27b283b517dyk4t,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,4.786383695662579E-6,845.0,52631579,-1,0.0
462df7ecf1d47980dea6a93d44fb408d4u2d5,82,21,1,53,23,75,7,1.714,1.476,3.81,3.381,1.0,3.905,576315789474,452105263158,21,1,0.047619047619047616,6.040827151307987E-4,104.71428571428571,526315790,188578947368,0.0
4641b5a43c7a2496ef93af2ca590d2c94s20x,39,35,1,26,9,34,2,1.0,1.029,1.114,1.114,1.0,1.114,2096684210527,113526315789,35,0,0.0,2.218127218127218E-4,214.9142857142857,3157894737,-1,0.0
4aad6f0ffe775217e4ef8c91d69707545li52,4,4,1,2,2,4,2,1.0,1.0,1.0,1.0,1.0,1.0,0,2837736842105,4,0,0.0,6.622428842002093E-6,580.25,263157894,-1,0.0
4cf9c56df4594860df56285e9293a7f7evfix,125,42,1,54,10,100,42,1.262,2.214,2.786,2.5,1.0,2.976,1078000000000,103894736842,42,1,0.023809523809523808,3.387598138718079E-4,176.33333333333334,1368421053,342526315789,0.0
5686520af5a4215a239418fec906f88e4she5,8,8,1,8,5,8,7,1.0,1.0,1.0,1.0,1.0,1.0,0,243105263158,8,0,0.0,7.096161863452105E-5,292.375,52631579,-1,0.0
668d393e858e8126275433046bbd35c6tywop,19988,594,1,1029,153,10316,4527,2.318,11.948,24.377,11.094,1.0,33.65,9421052631,10842105264,594,78,0.13131313131313133,0.030815576759122647,41.582491582491585,684210527,8842105263,0.0
7ce3afe39ece9d672e9adcf3dcf2aa44a8r22,6,4,1,2,2,2,6,1.0,1.5,1.0,1.0,1.0,1.5,10052631579,12578947368,4,0,0.0,9.411764705882353E-4,156.0,3631578948,-1,0.0
8e1f8e5907b3cc256a2a57ae9ac81e063gbz4,3,1,1,3,3,3,3,3.0,3.0,3.0,3.0,1.0,3.0,2230789473684,0,1,0,0.0,5.582984551881745E-6,1112.0,52631579,2230789473684,0.0
8ec8add138ed551bd5a9175eae0cb972ie0pk,82,34,1,34,2,44,6,1.0,1.294,1.882,1.941,1.0,2.412,472421052632,225736842105,34,0,0.0,0.00239318234882092,46.794117647058826,5526315789,44052631579,0.0
9d98d3f00a0c0bddf35470b0fb735fcdhiriy,603,67,1,77,40,163,337,2.493,7.896,5.418,4.0,1.0,9.0,128157894737,65263157895,67,1,0.014925373134328358,7.540129620205047E-4,110.5223880597015,947368421,89263157894,0.0
a32cce991a2f597f6e5a02605119f99b1dyq1,10,4,1,10,5,10,4,1.5,1.75,2.5,2.5,1.0,2.5,2659578947368,2846947368421,4,0,0.0,1.8358729575913347E-5,412.5,52631579,416000000000,0.0
c5dcc8a649adae76ce01a3fa85b68f237ny2r,44,22,1,21,3,29,4,1.0,1.136,1.864,1.636,1.0,2.0,2205315789474,496157894736,22,0,0.0,9.063941990771259E-4,180.6818181818182,2368421052,-1,0.0
ca76df527977e5168e1b3352cfab2ed9htipb,6,6,1,4,2,4,4,1.0,1.0,1.0,1.0,1.0,1.0,0,27526315789,6,0,0.0,6.609895012834212E-5,335.1666666666667,421052631,-1,0.0
e909515a6ae94a86027c717c4085954akbpt2,1088,165,1,299,62,728,121,1.745,3.673,5.212,5.206,1.0,6.594,169578947369,36736842105,165,0,0.0,0.0016238490894952785,109.82424242424243,894736842,101842105263,0.0
19353c42feb91a216885fe012efdfb11s2iu8,7,4,1,5,1,6,5,1.0,1.5,1.5,1.5,1.0,1.75,273526315789,1252789473684,4,0,0.0,2.8808125537580198E-5,426.0,52631579,-1,0.0
282fe85277f7c07b0ffbc5fed621a02ezp1zr,1700,164,1,320,64,1205,571,1.488,5.451,8.134,4.159,1.0,10.366,13105263158,36157894736,164,1,0.006097560975609756,0.0026612689869801327,114.71951219512195,105263158,10473684211,0.0
3d48fb12020c1a81a65fdba2d75caf0d6q2nc,80,30,1,30,2,49,11,1.033,1.933,2.2,2.067,1.0,2.667,475736842105,113315789473,30,0,0.0,0.0012872290785048833,66.0,1631578947,16157894737,0.0
429b876aa7e2d6741ddf322685363ccchue2v,10,10,1,6,2,9,2,1.0,1.0,1.0,1.0,1.0,1.0,0,653052631579,10,0,0.0,8.938946992044337E-4,156.8,6842105263,-1,0.0
8152c94b639be88e7076f0e32bd70e0eg004b,29,21,1,22,8,28,1,1.0,1.0,1.381,1.286,1.0,1.381,1927526315790,781894736842,21,0,0.0,3.644727085349454E-4,132.14285714285714,3421052632,-1,0.0
ca68a41b3a4062f154dc1ae8456cd792d6kp1,21,18,1,13,6,18,6,1.0,1.111,1.111,1.056,1.0,1.167,347210526316,936105263158,18,0,0.0,2.178513631271007E-4,190.05555555555554,2368421053,-1,0.0
caf32bc98f84a47829e76ffe104371f6kphvc,18185,764,1,954,121,6040,4792,1.898,9.168,13.768,10.111,1.0,23.802,25421052631,14263157895,764,54,0.07068062827225131,0.007975397969507973,63.36649214659686,789473684,22368421053,0.0
d2f0217aa734f025ec008d24d13eca10ntuhf,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,4.110152075626798E-4,171.0,5105263158,-1,0.0
d79919e5ba11f26bce5e70f0a4f859e3e4q9y,5013,81,1,119,3,407,19,1.037,1.407,11.617,5.617,1.0,61.889,2526315790,53526315789,81,6,0.07407407407407407,0.015054913043086543,92.85185185185185,52631579,2473684211,0.0
ee5afe7f268aaa88598545df890f4e5fzari6,28,18,1,18,5,27,3,1.0,1.222,1.556,1.556,1.0,1.556,4532052631579,829210526315,18,1,0.05555555555555555,3.652100871026058E-5,301.3888888888889,1368421053,-1,0.0
ef905e4d866c43dbc345751e7fabe5a568kjs,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,0.003816793893129771,42.0,1368421052,-1,0.0
02030ec48b7179a7fd9950fdf546e3feekkye,5,2,1,2,1,4,4,1.0,2.5,2.0,1.0,1.0,2.5,45526315790,3196473684210,2,0,0.0,0.001971608832807571,84.0,1736842105,3421052631,0.0
041d869edcadf595b90e3b5248903183pn754,993,103,1,19,13,290,3,1.0,1.01,6.272,2.621,1.0,9.641,65684210526,85315789473,103,1,0.009708737864077669,0.004131165546162551,120.68932038834951,2210526315,53526315790,1.0
25f59f9da43b6806aaa125fa61974591sacso,5,4,1,3,1,5,3,1.0,1.25,1.25,1.25,1.0,1.25,4273000000000,4064473684211,4,0,0.0,9.083840211617142E-6,491.0,315789474,-1,0.0
50a4bfbac8a9653af4099ec1169f684c2nsgu,4429,208,1,386,37,2705,1478,1.12,11.418,14.995,6.067,1.0,21.293,6263157894,26210526316,208,2,0.009615384615384616,0.006441001358296516,131.89903846153845,105263157,5578947368,0.0
8c2bdb9dd878a811701838002627a056be0ce,2073,111,1,255,21,1100,229,1.369,10.559,15.622,10.342,1.0,18.676,73157894737,49736842106,111,3,0.02702702702702703,0.004210616114899244,118.09009009009009,1210526316,63473684210,0.0
abf6c2cd31be1630f5a7a1219935011c3rkqt,163,110,1,89,21,147,52,1.027,1.355,1.445,1.418,1.0,1.482,3307736842105,136947368421,110,0,0.0,2.6780579972069334E-4,223.79090909090908,1526315789,-1,0.0
dcac75b5ccc362a66e7f9112f033bdebchxq4,14,9,1,12,2,13,6,1.0,1.556,1.556,1.556,1.0,1.556,6796631578947,1027157894737,9,0,0.0,1.9727200991996393E-4,297.22222222222223,789473684,-1,0.0
197e90906939267ace2422e78e8e83889znqp,236413,1149,1,1246,141,109159,48773,1.506,43.883,120.344,22.641,1.0,205.755,2526315789,6894736843,1149,212,0.18450826805918188,0.13983159618098562,70.35770234986946,105263157,2473684211,0.0
1dce9aaf9d6b9cba38f9c7489764fe30nlrq2,7,5,1,6,2,6,5,1.0,1.4,1.4,1.4,1.0,1.4,4488947368421,3276578947368,5,0,0.0,8.94980438284706E-5,304.4,105263158,-1,0.0
20d31f20169e8612fe13818891f88a83r66gm,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,0.001589825119236884,93.0,578947368,-1,0.0
2e1eb5b56591662fd7ecd7b39621bbcfgd1ks,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,2.4455857177794083E-4,221.0,157894737,-1,0.0
3e995d6f9dda5f29c02af4c9fcb94bac0csrw,2759,611,1,417,70,1826,2085,1.113,4.064,3.789,3.277,1.0,4.516,266368421052,27526315789,611,12,0.019639934533551555,0.0019094271303365686,103.31423895253683,2000000000,122000000000,0.0
60edf674563f85b227898f6af0386476efy45,5,4,1,5,3,5,4,1.0,1.0,1.25,1.25,1.0,1.25,2340526315789,3353421052632,4,0,0.0,2.3315458148752622E-5,334.75,5105263158,-1,0.0
6a5457f1038c6e1cf9feb57529ce07b2sff4d,8,6,1,4,2,5,2,1.0,1.167,1.167,1.167,1.0,1.333,1526315789,1045368421052,6,0,0.0,1.2307294687402407E-5,518.5,315789473,-1,0.0
876b122982958678f14bb25d887dd79dun3qa,60,40,1,29,3,56,34,1.0,1.45,1.5,1.425,1.0,1.5,1096473684211,254210526316,40,2,0.05,0.0018435445216001965,59.975,16105263158,-1,0.0
8df5d645ed4040b857c121a4459b7976n5u3b,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,3.5855145213338117E-4,199.0,1631578947,-1,0.0
916aedb8fd708e100318969dfe57a4639hexd,47,17,1,34,9,43,11,1.353,1.647,2.765,2.529,1.0,2.765,476315789474,461473684210,17,0,0.0,2.1168215249221955E-4,129.76470588235293,157894737,218000000000,0.0
a40808ec5bd9d0440585286f1658c3b1ag8dt,267,124,1,102,25,231,85,1.194,1.677,2.032,1.927,1.0,2.153,1861684210526,84315789474,124,0,0.0,2.0306251739721007E-4,219.69354838709677,842105263,1736842105,0.0
bb4af76ec92ce75e8abe9a6a481d4314jyo16,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,8.159934720522235E-5,237.0,578947369,-1,0.0
c1624207d78346c3c58cd44f3d5472fcriae4,12,11,1,8,5,10,9,1.0,1.091,1.091,1.091,1.0,1.091,7042315789474,691526315790,11,0,0.0,1.8898828272647097E-4,200.63636363636363,2631578947,-1,0.0
f75cc5ec8acf1ad2349e00ffc4b3191a531f3,104,43,1,55,16,78,53,1.163,1.651,2.07,1.744,1.0,2.419,300157894737,211052631579,43,0,0.0,1.336207893391167E-4,198.1627906976744,105263158,56052631579,0.0
1dec9ee102b29905e2f59a52fb7429826e8b4,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,2.2732439190725165E-4,243.0,4736842105,-1,0.0
29544507566320f1125d8e9f9a0ab3f2jswhk,971,133,1,148,41,405,444,1.383,4.917,4.068,2.887,1.0,7.301,4368421052,24736842106,133,3,0.022556390977443608,0.0016075413722542663,112.76691729323308,52631579,3105263158,0.0
2c581ec91825362ab66a7ffa05df5e70hl3h3,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0.0,2.871088142405972E-4,109.0,1105263158,-1,0.0
6e8cd4699eedf0075cf5662e1fff3a857bycf,43,30,1,17,6,27,13,1.0,1.333,1.4,1.2,1.0,1.433,2186684210526,669578947369,30,0,0.0,2.6383605350349735E-4,168.86666666666667,5263157894,-1,0.0
89291354b0939c342be97fa58e018bd89fvcf,46,34,1,25,9,34,20,1.059,1.176,1.265,1.206,1.0,1.353,311894736842,344578947369,34,0,0.0,5.9892324017472936E-5,228.7058823529412,2368421052,-1,0.0
898419c2d011d5a822e9ee07c387098ezpc12,3,2,1,3,2,3,1,1.0,1.0,1.5,1.5,1.0,1.5,1218894736842,9498052631579,2,0,0.0,5.588673621460507E-4,112.5,1473684210,-1,0.0
9fada390b6c53ecb47e6f4eb4353e14f01xu0,102,54,1,51,7,82,20,1.037,1.389,1.722,1.611,1.0,1.889,894789473684,295578947368,54,2,0.037037037037037035,0.005331103329326295,46.75925925925926,18631578947,-1,0.0
bef84146ac1e2f21e928e06ede1404793bfnx,6,6,1,5,2,6,2,1.0,1.0,1.0,1.0,1.0,1.0,0,366421052631,6,0,0.0,3.069838833461243E-4,248.83333333333334,105263158,-1,0.0
f0ce8b973cb8d6eef9221fd3d6698fd4kl3g7,8,5,1,6,3,8,2,1.2,1.0,1.6,1.4,1.0,1.6,64120578947368,199263157895,5,0,0.0,7.268432290010448E-5,450.4,1157894737,-1,0.0
0853bead89b03dd38a04d84f4312da7dukglz,4,4,1,3,2,4,1,1.0,1.0,1.0,1.0,1.0,1.0,0,2631947368422,4,0,0.0,4.623208506703652E-4,222.25,8947368422,-1,0.0
1e13eba969b6b953688c9e945544ac4741ilj,8,8,1,7,3,7,1,1.0,1.0,1.0,1.0,1.0,1.0,0,2408210526316,8,0,0.0,5.796681399898558E-4,153.0,5157894737,-1,0.0
361397432ed35185b5a2789867a859ec42v14,16,12,1,13,7,16,7,1.0,1.25,1.333,1.333,1.0,1.333,3195631578947,928947368421,12,0,0.0,1.0583900564254199E-4,273.25,157894737,-1,0.0
6f6e3687f67272b103351641b678225abarzw,91,20,1,55,2,74,47,1.0,3.4,4.1,3.8,1.0,4.55,177368421052,164052631579,20,0,0.0,0.015776699029126214,30.95,4526315789,113736842105,0.0
76ab7c99de4a3141bf617bf30bec9feep3zuy,2,2,1,1,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0,1736842105263,2,0,0.0,3.6677058499908307E-4,125.0,1157894737,-1,0.0
84f06d2c69695fe24cd69f8a1aae21a7kozbn,39,16,1,20,3,27,34,1.0,2.438,2.25,2.125,1.0,2.438,3561421052631,578368421053,16,0,0.0,5.192246245606561E-4,233.875,2263157895,475894736842,0.0
a46046f129f3526547aca680877fd8c7e6tfc,3,1,1,2,1,3,2,1.0,2.0,3.0,2.0,1.0,3.0,20578947368,0,1,0,0.0,5.582984551881745E-6,1112.0,52631579,20578947368,0.0
bd8bd6cae40abb19b81b6b6a7775f63e5tk1s,12,6,1,9,4,12,2,1.5,1.167,2.0,1.833,1.0,2.0,4534526315790,1993526315789,6,0,0.0,4.744433198380567E-5,376.0,736842106,-1,0.0
cf18f6766fadce944ee74796489c23acmqhpe,6,1,1,5,1,5,4,1.0,4.0,5.0,5.0,1.0,6.0,3681315789474,0,1,0,0.0,1.116596910376349E-5,1112.0,0,1607000000000,0.0
dfd5c9157a0a771f235c32f30aedbf84e2552,150,61,1,69,18,133,8,1.344,1.295,2.262,2.066,1.0,2.459,1071578947368,108631578948,61,0,0.0,1.5762147098661582E-4,202.55737704918033,1157894737,37842105263,0.0
